                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8357,                  5.752,                 4.1728,                      0,                      0,                      0,                      0,                 6.0603,                 5.8138,                 4.1324,             0.00032479,             0.00032479,             0.00032479
                      2,                 4.6614,                 4.8182,                 3.5372,                      0,                      0,                      0,                      0,                 6.2148,                 5.8113,                 4.4004,             0.00061468,             0.00061468,             0.00061468
                      3,                 3.4221,                 3.5773,                  2.719,                0.89026,                0.04659,                0.03333,                0.01411,                  4.831,                  5.062,                 3.4541,             0.00086058,             0.00086058,             0.00086058
                      4,                 3.0792,                 2.9893,                 2.3212,                0.90302,                0.10753,                0.09195,                0.03158,                 2.9175,                 4.2455,                 2.3235,               0.000802,               0.000802,               0.000802
                      5,                 2.9294,                 2.7606,                 2.1306,                 0.2325,                0.24756,                0.14616,                0.05579,                  2.673,                  3.033,                 2.1742,               0.000736,               0.000736,               0.000736
                      6,                 2.7244,                 2.6469,                 2.0511,                0.46736,                0.27459,                0.16963,                0.06602,                 2.6027,                 2.8014,                  2.058,                0.00067,                0.00067,                0.00067
                      7,                 2.6397,                 2.4711,                 1.9906,                0.44869,                0.26891,                0.19154,                0.07768,                 2.5303,                 2.6687,                 1.9927,               0.000604,               0.000604,               0.000604
                      8,                 2.5818,                 2.3474,                 1.9463,                0.38964,                0.30215,                0.25159,                0.09987,                  2.556,                 2.4189,                  1.988,               0.000538,               0.000538,               0.000538
                      9,                  2.545,                  2.266,                 1.8981,                0.32384,                0.34661,                0.29872,                0.11685,                 2.4636,                 2.3474,                 1.9506,               0.000472,               0.000472,               0.000472
                     10,                 2.4718,                 2.1477,                 1.8674,                0.55575,                0.32748,                0.34717,                0.14293,                 2.4368,                 2.2386,                 1.8975,               0.000406,               0.000406,               0.000406
                     11,                 2.4566,                 2.1113,                 1.8414,                0.46116,                0.29742,                0.36236,                0.14428,                 2.5767,                 2.1335,                  1.962,                0.00034,                0.00034,                0.00034
                     12,                  2.437,                 2.0511,                 1.8164,                0.42015,                0.36089,                0.36127,                 0.1557,                 2.4198,                 2.1098,                 1.8979,               0.000274,               0.000274,               0.000274
                     13,                 2.3843,                 2.0061,                 1.8007,                0.41105,                0.40805,                0.40575,                0.17331,                 2.3727,                 2.0338,                 1.8641,               0.000208,               0.000208,               0.000208
                     14,                 2.3671,                  1.968,                 1.7716,                0.48701,                 0.3545,                0.40696,                0.17501,                 2.3808,                 2.0158,                 1.8567,               0.000142,               0.000142,               0.000142
                     15,                 2.3452,                 1.9265,                 1.7937,                0.37517,                0.42118,                0.39787,                0.17481,                 2.3273,                      2,                 1.8381,                7.6e-05,                7.6e-05,                7.6e-05
