                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7116,                 5.4806,                  4.114,                      0,                      0,                      0,                      0,                 6.0457,                 5.6708,                 4.1168,             0.00032479,             0.00032479,             0.00032479
                      2,                 3.9917,                 3.8194,                 3.4248,                      0,                      0,                      0,                      0,                 6.1877,                  5.582,                 4.3083,             0.00062554,             0.00062554,             0.00062554
                      3,                 3.1538,                 2.9811,                 2.5939,                0.87431,                 0.0298,                0.03051,                0.01205,                 4.4394,                 4.7329,                 3.2481,              0.0008933,              0.0008933,              0.0008933
                      4,                 2.9121,                 2.5879,                 2.2391,                0.42374,                0.15904,                0.09484,                0.03476,                 3.1829,                  3.261,                 2.5295,              0.0008515,              0.0008515,              0.0008515
                      5,                  2.799,                 2.3661,                 2.0503,                0.40524,                0.29512,                0.24595,                0.09253,                   2.73,                 2.5335,                 2.2048,               0.000802,               0.000802,               0.000802
                      6,                 2.6778,                 2.2406,                 1.9918,                0.36772,                0.36358,                0.25232,                0.08783,                 2.8022,                 2.3187,                 2.1586,              0.0007525,              0.0007525,              0.0007525
                      7,                 2.6073,                 2.1429,                 1.9008,                0.36221,                0.40549,                0.36416,                0.14171,                 2.5892,                 2.2156,                 2.0378,               0.000703,               0.000703,               0.000703
                      8,                 2.5425,                 1.9891,                 1.8334,                0.51444,                0.33134,                0.36121,                0.12666,                 2.6264,                 2.2014,                 2.0459,              0.0006535,              0.0006535,              0.0006535
                      9,                 2.4848,                 1.8881,                 1.7776,                0.74194,                0.32726,                0.42234,                0.17648,                 2.3832,                 2.0315,                 1.9089,               0.000604,               0.000604,               0.000604
                     10,                  2.406,                 1.7784,                 1.7191,                0.49164,                0.45112,                0.44301,                0.17594,                 2.4315,                  1.841,                 1.9218,              0.0005545,              0.0005545,              0.0005545
                     11,                 2.3189,                 1.8046,                 1.7452,                0.66804,                0.39193,                 0.4388,                0.16968,                 2.5948,                 1.8659,                  1.977,               0.000505,               0.000505,               0.000505
                     12,                 2.2878,                 1.7423,                 1.7262,                0.46832,                0.48417,                0.49744,                0.19381,                 2.4088,                 1.7582,                 1.8887,              0.0004555,              0.0004555,              0.0004555
                     13,                 2.2575,                 1.6903,                 1.6991,                0.48615,                0.51715,                0.53786,                0.22764,                 2.2625,                  1.658,                 1.7886,               0.000406,               0.000406,               0.000406
                     14,                 2.1911,                 1.6121,                 1.6562,                0.45204,                0.51657,                0.52913,                0.22061,                 2.2943,                 1.7367,                 1.8253,              0.0003565,              0.0003565,              0.0003565
                     15,                  2.183,                 1.5883,                 1.6571,                0.55714,                0.56817,                0.59201,                0.25543,                 2.1759,                 1.5462,                 1.7311,               0.000307,               0.000307,               0.000307
                     16,                 2.1711,                  1.526,                 1.5956,                0.52062,                0.49662,                0.55093,                0.23051,                 2.2239,                 1.7083,                  1.773,              0.0002575,              0.0002575,              0.0002575
                     17,                 2.1187,                 1.5067,                 1.5951,                0.67037,                0.60281,                0.67577,                0.28081,                 2.1112,                 1.4554,                 1.7037,               0.000208,               0.000208,               0.000208
                     18,                 2.1311,                 1.4856,                 1.5896,                0.64415,                0.64321,                 0.7067,                0.30111,                  2.101,                 1.4339,                 1.6888,              0.0001585,              0.0001585,              0.0001585
                     19,                  2.084,                 1.4615,                 1.5841,                0.67488,                0.64517,                0.70808,                0.30154,                 2.0671,                 1.4189,                 1.6846,               0.000109,               0.000109,               0.000109
                     20,                 2.0674,                 1.4403,                 1.5934,                0.69604,                0.66796,                0.73928,                0.31735,                 2.0439,                 1.3929,                 1.6762,               5.95e-05,               5.95e-05,               5.95e-05
