                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8495,                 5.7636,                 4.1678,                      0,                      0,                      0,                      0,                 6.0583,                 5.8099,                 4.1296,             0.00032479,             0.00032479,             0.00032479
                      2,                 4.6459,                 4.7905,                 3.5206,                      0,                      0,                      0,                      0,                 6.2149,                 5.8189,                 4.3965,             0.00062554,             0.00062554,             0.00062554
                      3,                 3.4325,                 3.5361,                 2.6979,                0.89402,                0.04659,                0.03488,                0.01246,                 4.7362,                 5.0862,                 3.3806,              0.0008933,              0.0008933,              0.0008933
                      4,                 3.0918,                  2.978,                 2.3358,                0.90965,                0.11051,                0.08953,                0.03361,                 2.9183,                 4.2896,                 2.3485,              0.0008515,              0.0008515,              0.0008515
                      5,                 2.9364,                  2.757,                 2.1404,                0.13668,                0.24247,                0.12452,                0.04655,                 2.6564,                 3.0125,                 2.1722,               0.000802,               0.000802,               0.000802
                      6,                 2.7963,                 2.6056,                 2.0509,                0.40048,                0.26092,                0.15083,                0.06262,                 2.6495,                 2.8788,                 2.1274,              0.0007525,              0.0007525,              0.0007525
                      7,                 2.7332,                 2.4505,                 1.9611,                0.38577,                0.31957,                0.18784,                0.07771,                 2.5946,                  2.605,                  2.024,               0.000703,               0.000703,               0.000703
                      8,                 2.6318,                  2.317,                 1.8845,                 0.4664,                0.34431,                0.24769,                0.10234,                 2.4853,                 2.4248,                 1.9633,              0.0006535,              0.0006535,              0.0006535
                      9,                 2.6091,                 2.2133,                 1.8399,                0.43894,                0.32702,                0.26179,                0.10181,                 2.4968,                  2.344,                 1.9498,               0.000604,               0.000604,               0.000604
                     10,                 2.5278,                 2.0878,                 1.7878,                0.30624,                0.41172,                0.31415,                0.12144,                 2.4019,                  2.224,                 1.9119,              0.0005545,              0.0005545,              0.0005545
                     11,                  2.446,                 2.1076,                 1.8123,                0.56825,                0.38468,                 0.3665,                0.13877,                 2.5335,                 2.1777,                 1.9375,               0.000505,               0.000505,               0.000505
                     12,                 2.4027,                 2.0126,                 1.8063,                0.51528,                0.33487,                0.39331,                0.15717,                 2.4224,                 2.0465,                 1.8789,              0.0004555,              0.0004555,              0.0004555
                     13,                 2.3626,                 1.9487,                 1.7705,                0.35206,                0.41916,                0.37399,                0.16371,                 2.3257,                 2.0448,                 1.8375,               0.000406,               0.000406,               0.000406
                     14,                 2.3197,                 1.8917,                 1.7359,                0.34986,                0.44291,                  0.432,                0.18679,                 2.3216,                 1.9656,                 1.8053,              0.0003565,              0.0003565,              0.0003565
                     15,                 2.3139,                 1.8664,                 1.7373,                0.40392,                0.44207,                0.41364,                0.18099,                   2.27,                  1.928,                 1.8028,               0.000307,               0.000307,               0.000307
                     16,                 2.2961,                  1.814,                 1.6692,                0.45734,                0.44938,                0.45148,                0.19351,                 2.2792,                 1.8177,                 1.7916,              0.0002575,              0.0002575,              0.0002575
                     17,                 2.2602,                 1.7862,                  1.681,                0.47933,                0.43732,                0.46827,                0.19969,                 2.2071,                  1.844,                 1.7687,               0.000208,               0.000208,               0.000208
                     18,                 2.2677,                 1.7741,                 1.6668,                0.52302,                0.41535,                0.49896,                0.21851,                 2.2023,                 1.7525,                 1.7553,              0.0001585,              0.0001585,              0.0001585
                     19,                 2.2368,                 1.7509,                 1.6648,                0.49005,                0.44832,                0.50369,                0.21995,                 2.1688,                 1.7633,                 1.7319,               0.000109,               0.000109,               0.000109
                     20,                 2.2212,                 1.7206,                 1.6831,                0.48056,                0.50368,                0.51335,                0.22451,                 2.1868,                 1.6785,                 1.7446,               5.95e-05,               5.95e-05,               5.95e-05
